Array Size,Gops/s
4096, 60.57532409395741
8192, 61.709190990435054
12288, 66.41191698489126
16384, 67.7162800304749
20480, 69.32053186016554
24576, 71.03097029264126
28672, 73.58406957197575
32768, 73.89147671840355
36864, 73.47290381183915
40960, 74.2404752181177
45056, 77.64879157304811
49152, 77.99896079578703
53248, 76.68445034745814
57344, 81.28542604452578
61440, 81.28160385873217
65536, 81.73014489292906
69632, 80.85300006145347
73728, 81.47384325265693
77824, 82.45292247977584
81920, 83.24773310721325
86016, 85.78529514000645
90112, 85.05639802641379
94208, 86.32597473820576
98304, 86.31876284850145
102400, 86.95686976707361
106496, 87.03197911227154
110592, 88.08710806919728
114688, 88.25466416344561
118784, 88.80419088697211
122880, 87.60087547000394
126976, 87.36424985115835
131072, 87.32724086917291
135168, 73.7620454169522
139264, 77.23591928164527
143360, 80.00153722978385
147456, 82.28971032589058
151552, 79.12281085363439
155648, 74.88365031320794
159744, 75.97084839142714
163840, 74.72563624427833
167936, 72.82715835229534
172032, 71.78208252269258
176128, 68.49812163518224
180224, 67.86921301724871
184320, 71.17809085869892
188416, 69.61950675381263
192512, 69.00910463492362
196608, 67.17798150327897
200704, 67.44682192052592
